,id,progress,mode,fontsize,color,midHash,content,ctime,idStr,attr,date,time
3311,1670551084974215424,87571,1,25,16777215,aa8899b,？？？？？？,1726236407,1670551084974215424,,2024-09-13,14:06:47
3312,1670549741798310144,166667,1,25,16777215,27e9c1e9,那你猜猜为什么不想生孩子,1726236247,1670549741798310144,,2024-09-13,14:04:07
3313,1670541978200829184,72088,1,25,16777215,47672e88,人才,1726235322,1670541978200829184,,2024-09-13,13:48:42
3314,1670534919128387584,202814,1,25,16777215,3fe11c48,不可能,1726234480,1670534919128387584,,2024-09-13,13:34:40
3315,1670534112555411968,143934,1,25,16777215,fbfa6897,谁带小孩啊？年轻人在家带小孩？老人在工厂在公司上班？,1726234384,1670534112555411968,,2024-09-13,13:33:04
3316,1670529178400898560,329049,1,25,16777215,a444958,年轻人更没机会了 还挺好?,1726233796,1670529178400898560,,2024-09-13,13:23:16
3317,1670525135310290688,51645,1,25,16777215,6b1a5582,猜猜为啥老龄化,1726233314,1670525135310290688,4.0,2024-09-13,13:15:14
3318,1670523637499245568,75051,1,25,16777215,f016e064,男的65,1726233136,1670523637499245568,,2024-09-13,13:12:16
3319,1670520344575840256,280819,1,25,16777215,a64c6f4,相信学历有用的是没有被社会毒打过,1726232743,1670520344575840256,,2024-09-13,13:05:43
3320,1670519441081245696,47538,1,25,16777215,d534bb72,需要年轻劳动力就应该提前退休腾位置,1726232635,1670519441081245696,,2024-09-13,13:03:55
3321,1670517292289125632,55234,1,25,16777215,62848973,也就还没工作的能这么想了,1726232379,1670517292289125632,,2024-09-13,12:59:39
3322,1670517055923233024,147959,1,25,16777215,83ffb18b,说得好,1726232351,1670517055923233024,,2024-09-13,12:59:11
3323,1670516591706083584,353219,1,25,16777215,835b4134,别用三十岁的心态去推测人家六十岁,1726232296,1670516591706083584,,2024-09-13,12:58:16
3324,1670516574006040064,52113,1,25,16777215,9d4d44ed,这两个一看就没上过班,1726232293,1670516574006040064,,2024-09-13,12:58:13
3325,1670515555041960192,231011,1,25,16777215,9793b341,35岁以后这些人还有多少人有工作？,1726232172,1670515555041960192,16.0,2024-09-13,12:56:12
3326,1670515185179193088,233940,1,25,16777215,943e0f27,60岁超绝职业抱负,1726232128,1670515185179193088,,2024-09-13,12:55:28
3327,1670512982666292480,222599,1,25,16777215,c424cf3b,为什么你有两副眼镜,1726231865,1670512982666292480,,2024-09-13,12:51:05
3328,1670510540868588544,86119,1,25,16777215,7c71ceff,和我上学时一样,1726231574,1670510540868588544,,2024-09-13,12:46:14
3329,1670506185679833856,147165,1,25,16777215,48cf2c32,只会代替你,1726231055,1670506185679833856,,2024-09-13,12:37:35
3330,1670505478494529024,202430,1,25,16777215,bbb215f7,说的太好了,1726230971,1670505478494529024,,2024-09-13,12:36:11
3331,1670502511243034112,82066,1,25,16777215,14640f1d,你多干点,1726230617,1670502511243034112,,2024-09-13,12:30:17
3332,1670500516717260544,113218,1,25,16777215,8923921a,还想有班上，不听听自己在说什么,1726230379,1670500516717260544,,2024-09-13,12:26:19
3333,1670499414327894016,91353,1,25,16777215,e76d55d0,30岁就下滑了,1726230248,1670499414327894016,,2024-09-13,12:24:08
3334,1670493589614516224,54479,1,25,16777215,40883e,哈哈哈哈，只能说太年轻,1726229554,1670493589614516224,,2024-09-13,12:12:34
3335,1670481650997831168,86139,1,25,16777215,c952f59c,还是太年轻了哈哈等这帮人五十左右再去问他们吧,1726228130,1670481650997831168,,2024-09-13,11:48:50
3336,1670480532737766656,199800,1,25,16777215,acb10b0d,这个说得对！,1726227997,1670480532737766656,,2024-09-13,11:46:37
3337,1670478737667492096,67901,1,25,16777215,132b403e,都是女的？,1726227783,1670478737667492096,,2024-09-13,11:43:03
3338,1670478398466130944,55140,1,25,16777215,ac4f18c5,自己有能力的，早早实现财务自由的，谁在乎这？,1726227743,1670478398466130944,,2024-09-13,11:42:23
3339,1670472633445205760,95559,1,25,16777215,29fdc2e,沪上老太奶茶店,1726227055,1670472633445205760,,2024-09-13,11:30:55
3340,1670472046888896768,189721,1,25,16777215,30277448,这是男的？,1726226985,1670472046888896768,,2024-09-13,11:29:45
3341,1670470859674423296,59281,1,25,16777215,dda4d591,一切合理！,1726226844,1670470859674423296,,2024-09-13,11:27:24
3342,1670470455519348224,51604,1,25,16777215,dd90eabb,这是大学生？,1726226796,1670470455519348224,,2024-09-13,11:26:36
3343,1670469629434679296,329599,1,25,16777215,769a96ac,？？？学法不是以人为本么，关系不大？,1726226697,1670469629434679296,16.0,2024-09-13,11:24:57
3344,1670465377056093696,54578,1,25,16646914,a05eecc2,“很早退休”。。。。。。,1726226190,1670465377056093696,,2024-09-13,11:16:30
3345,1670461945066844672,36215,1,25,16777215,105c3e45,北京外国语大学！,1726225781,1670461945066844672,,2024-09-13,11:09:41
3346,1670456041986602240,24797,1,25,16777215,2872d2d9,谁要55的员工,1726225077,1670456041986602240,,2024-09-13,10:57:57
3347,1670454145725027840,84991,1,25,16777215,cf9767d3,先找个班上吧,1726224851,1670454145725027840,16.0,2024-09-13,10:54:11
3348,1670448888165296640,60567,1,25,16777215,d6bb7094,笑了，剪辑大师,1726224225,1670448888165296640,,2024-09-13,10:43:45
3349,1670444965173399808,52646,1,25,16777215,fef8e042,这孩子新闻看多了吧,1726223738,1670444965173399808,32768.0,2024-09-13,10:35:38
3350,1670444965274063104,51787,1,25,16777215,82fe6ee,需要年轻的劳动力 和我晚退休有什么关系,1726223671,1670444965274063104,32768.0,2024-09-13,10:34:31
3351,1670444965483778304,186745,1,25,16777215,1117541f,如果太为难，直接取消养老金制度不好吗？,1726223622,1670444965483778304,32768.0,2024-09-13,10:33:42
3352,1670444965064347908,50798,1,25,16777215,e7409795,呵呵,1726223541,1670444965064347908,32768.0,2024-09-13,10:32:21
3353,1670444965399892224,88339,1,25,16777215,1117541f,劝各位尽量不要激情消费了，能省就省，毕竟要攒养老金。,1726223466,1670444965399892224,32768.0,2024-09-13,10:31:06
3354,1670444965198565632,123821,1,25,16777215,f670401c,男行呢？,1726223223,1670444965198565632,32768.0,2024-09-13,10:27:03
3355,1670444965324394752,118457,1,25,16777215,82d3c2ec,“女性”,1726223028,1670444965324394752,32768.0,2024-09-13,10:23:48
3356,1670444965064347906,58535,1,25,16777215,ee85ec0b,真厉害,1726222874,1670444965064347906,32768.0,2024-09-13,10:21:14
3357,1670444965156622592,78906,1,25,16777215,323f6de3,厉害了,1726222754,1670444965156622592,32768.0,2024-09-13,10:19:14
3358,1670444965240508672,55179,1,25,16777215,55c2c423,出现了！《宏观叙事》,1726222428,1670444965240508672,32768.0,2024-09-13,10:13:48
3359,1670444965064347907,65068,1,25,16777215,3674f49a,哈哈哈哈哈哈哈哈哈哈,1726222160,1670444965064347907,32768.0,2024-09-13,10:09:20
3360,1670444965148233984,18680,1,25,16777215,3674f49a,这裙子好好看,1726221996,1670444965148233984,32768.0,2024-09-13,10:06:36
3361,1670444965064347904,56801,1,25,16777215,5595b5f0,牛逼,1726220036,1670444965064347904,32768.0,2024-09-13,09:33:56
3362,1670444965064347905,17895,1,25,16777215,95f249cb,这主持人嘴有点歪？,1726219264,1670444965064347905,32768.0,2024-09-13,09:21:04
3363,1670573709511508224,273025,1,25,16777215,49e761ea,律师就是nb啊,1726239105,1670573709511508224,,2024-09-13,14:51:45
3364,1670572537371309824,117845,1,25,16777215,be5a3e70,你要上怎么游历？国庆去人挤人？,1726238965,1670572537371309824,,2024-09-13,14:49:25
3365,1670568447891392512,92373,1,25,16777215,9276faa5,他是说延迟之前是合理的,1726238477,1670568447891392512,,2024-09-13,14:41:17
3366,1670566916600924672,144489,1,25,16777215,3e1009c7,上了一年班，，恨不得原地退休,1726238295,1670566916600924672,,2024-09-13,14:38:15
3367,1670561759343272192,56979,1,25,16777215,db450c98,小孩还是涉世未深,1726237680,1670561759343272192,,2024-09-13,14:28:00
3368,1670561399791291136,50663,1,25,16777215,20be134a,这个小姑娘，你搞清楚。如果是需要年轻劳动力就不会延迟退休了，年轻人找不到工作,1726237637,1670561399791291136,,2024-09-13,14:27:17
3369,1670552941196784384,36923,1,25,16777215,e83de603,一眼北外,1726236629,1670552941196784384,,2024-09-13,14:10:29
3370,1670551084974215424,87571,1,25,16777215,aa8899b,？？？？？？,1726236407,1670551084974215424,,2024-09-13,14:06:47
3371,1670549741798310144,166667,1,25,16777215,27e9c1e9,那你猜猜为什么不想生孩子,1726236247,1670549741798310144,,2024-09-13,14:04:07
3372,1670541978200829184,72088,1,25,16777215,47672e88,人才,1726235322,1670541978200829184,,2024-09-13,13:48:42
3373,1670534919128387584,202814,1,25,16777215,3fe11c48,不可能,1726234480,1670534919128387584,,2024-09-13,13:34:40
3374,1670534112555411968,143934,1,25,16777215,fbfa6897,谁带小孩啊？年轻人在家带小孩？老人在工厂在公司上班？,1726234384,1670534112555411968,,2024-09-13,13:33:04
3375,1670529178400898560,329049,1,25,16777215,a444958,年轻人更没机会了 还挺好?,1726233796,1670529178400898560,,2024-09-13,13:23:16
3376,1670525135310290688,51645,1,25,16777215,6b1a5582,猜猜为啥老龄化,1726233314,1670525135310290688,4.0,2024-09-13,13:15:14
3377,1670523637499245568,75051,1,25,16777215,f016e064,男的65,1726233136,1670523637499245568,,2024-09-13,13:12:16
3378,1670520344575840256,280819,1,25,16777215,a64c6f4,相信学历有用的是没有被社会毒打过,1726232743,1670520344575840256,,2024-09-13,13:05:43
3379,1670519441081245696,47538,1,25,16777215,d534bb72,需要年轻劳动力就应该提前退休腾位置,1726232635,1670519441081245696,,2024-09-13,13:03:55
3380,1670517292289125632,55234,1,25,16777215,62848973,也就还没工作的能这么想了,1726232379,1670517292289125632,,2024-09-13,12:59:39
3381,1670517055923233024,147959,1,25,16777215,83ffb18b,说得好,1726232351,1670517055923233024,,2024-09-13,12:59:11
3382,1670516591706083584,353219,1,25,16777215,835b4134,别用三十岁的心态去推测人家六十岁,1726232296,1670516591706083584,,2024-09-13,12:58:16
3383,1670516574006040064,52113,1,25,16777215,9d4d44ed,这两个一看就没上过班,1726232293,1670516574006040064,,2024-09-13,12:58:13
3384,1670515555041960192,231011,1,25,16777215,9793b341,35岁以后这些人还有多少人有工作？,1726232172,1670515555041960192,16.0,2024-09-13,12:56:12
3385,1670515185179193088,233940,1,25,16777215,943e0f27,60岁超绝职业抱负,1726232128,1670515185179193088,,2024-09-13,12:55:28
3386,1670512982666292480,222599,1,25,16777215,c424cf3b,为什么你有两副眼镜,1726231865,1670512982666292480,,2024-09-13,12:51:05
3387,1670510540868588544,86119,1,25,16777215,7c71ceff,和我上学时一样,1726231574,1670510540868588544,,2024-09-13,12:46:14
3388,1670506185679833856,147165,1,25,16777215,48cf2c32,只会代替你,1726231055,1670506185679833856,,2024-09-13,12:37:35
3389,1670505478494529024,202430,1,25,16777215,bbb215f7,说的太好了,1726230971,1670505478494529024,,2024-09-13,12:36:11
3390,1670502511243034112,82066,1,25,16777215,14640f1d,你多干点,1726230617,1670502511243034112,,2024-09-13,12:30:17
3391,1670500516717260544,113218,1,25,16777215,8923921a,还想有班上，不听听自己在说什么,1726230379,1670500516717260544,,2024-09-13,12:26:19
3392,1670499414327894016,91353,1,25,16777215,e76d55d0,30岁就下滑了,1726230248,1670499414327894016,,2024-09-13,12:24:08
3393,1670493589614516224,54479,1,25,16777215,40883e,哈哈哈哈，只能说太年轻,1726229554,1670493589614516224,,2024-09-13,12:12:34
3394,1670481650997831168,86139,1,25,16777215,c952f59c,还是太年轻了哈哈等这帮人五十左右再去问他们吧,1726228130,1670481650997831168,,2024-09-13,11:48:50
3395,1670480532737766656,199800,1,25,16777215,acb10b0d,这个说得对！,1726227997,1670480532737766656,,2024-09-13,11:46:37
3396,1670478737667492096,67901,1,25,16777215,132b403e,都是女的？,1726227783,1670478737667492096,,2024-09-13,11:43:03
3397,1670478398466130944,55140,1,25,16777215,ac4f18c5,自己有能力的，早早实现财务自由的，谁在乎这？,1726227743,1670478398466130944,,2024-09-13,11:42:23
3398,1670472633445205760,95559,1,25,16777215,29fdc2e,沪上老太奶茶店,1726227055,1670472633445205760,,2024-09-13,11:30:55
3399,1670472046888896768,189721,1,25,16777215,30277448,这是男的？,1726226985,1670472046888896768,,2024-09-13,11:29:45
3400,1670470859674423296,59281,1,25,16777215,dda4d591,一切合理！,1726226844,1670470859674423296,,2024-09-13,11:27:24
3401,1670470455519348224,51604,1,25,16777215,dd90eabb,这是大学生？,1726226796,1670470455519348224,,2024-09-13,11:26:36
3402,1670469629434679296,329599,1,25,16777215,769a96ac,？？？学法不是以人为本么，关系不大？,1726226697,1670469629434679296,16.0,2024-09-13,11:24:57
3403,1670465377056093696,54578,1,25,16646914,a05eecc2,“很早退休”。。。。。。,1726226190,1670465377056093696,,2024-09-13,11:16:30
3404,1670461945066844672,36215,1,25,16777215,105c3e45,北京外国语大学！,1726225781,1670461945066844672,,2024-09-13,11:09:41
3405,1670456041986602240,24797,1,25,16777215,2872d2d9,谁要55的员工,1726225077,1670456041986602240,,2024-09-13,10:57:57
3406,1670454145725027840,84991,1,25,16777215,cf9767d3,先找个班上吧,1726224851,1670454145725027840,16.0,2024-09-13,10:54:11
3407,1670448888165296640,60567,1,25,16777215,d6bb7094,笑了，剪辑大师,1726224225,1670448888165296640,,2024-09-13,10:43:45
3408,1670444965173399808,52646,1,25,16777215,fef8e042,这孩子新闻看多了吧,1726223738,1670444965173399808,32768.0,2024-09-13,10:35:38
3409,1670444965274063104,51787,1,25,16777215,82fe6ee,需要年轻的劳动力 和我晚退休有什么关系,1726223671,1670444965274063104,32768.0,2024-09-13,10:34:31
3410,1670444965483778304,186745,1,25,16777215,1117541f,如果太为难，直接取消养老金制度不好吗？,1726223622,1670444965483778304,32768.0,2024-09-13,10:33:42
3411,1670444965064347908,50798,1,25,16777215,e7409795,呵呵,1726223541,1670444965064347908,32768.0,2024-09-13,10:32:21
3412,1670444965399892224,88339,1,25,16777215,1117541f,劝各位尽量不要激情消费了，能省就省，毕竟要攒养老金。,1726223466,1670444965399892224,32768.0,2024-09-13,10:31:06
3413,1670444965198565632,123821,1,25,16777215,f670401c,男行呢？,1726223223,1670444965198565632,32768.0,2024-09-13,10:27:03
3414,1670444965324394752,118457,1,25,16777215,82d3c2ec,“女性”,1726223028,1670444965324394752,32768.0,2024-09-13,10:23:48
3415,1670444965064347906,58535,1,25,16777215,ee85ec0b,真厉害,1726222874,1670444965064347906,32768.0,2024-09-13,10:21:14
3416,1670444965156622592,78906,1,25,16777215,323f6de3,厉害了,1726222754,1670444965156622592,32768.0,2024-09-13,10:19:14
3417,1670444965240508672,55179,1,25,16777215,55c2c423,出现了！《宏观叙事》,1726222428,1670444965240508672,32768.0,2024-09-13,10:13:48
3418,1670444965064347907,65068,1,25,16777215,3674f49a,哈哈哈哈哈哈哈哈哈哈,1726222160,1670444965064347907,32768.0,2024-09-13,10:09:20
3419,1670444965148233984,18680,1,25,16777215,3674f49a,这裙子好好看,1726221996,1670444965148233984,32768.0,2024-09-13,10:06:36
3420,1670444965064347904,56801,1,25,16777215,5595b5f0,牛逼,1726220036,1670444965064347904,32768.0,2024-09-13,09:33:56
3421,1670444965064347905,17895,1,25,16777215,95f249cb,这主持人嘴有点歪？,1726219264,1670444965064347905,32768.0,2024-09-13,09:21:04
3422,1670573709511508224,273025,1,25,16777215,49e761ea,律师就是nb啊,1726239105,1670573709511508224,,2024-09-13,14:51:45
3423,1670572537371309824,117845,1,25,16777215,be5a3e70,你要上怎么游历？国庆去人挤人？,1726238965,1670572537371309824,,2024-09-13,14:49:25
3424,1670568447891392512,92373,1,25,16777215,9276faa5,他是说延迟之前是合理的,1726238477,1670568447891392512,,2024-09-13,14:41:17
3425,1670566916600924672,144489,1,25,16777215,3e1009c7,上了一年班，，恨不得原地退休,1726238295,1670566916600924672,,2024-09-13,14:38:15
3426,1670561759343272192,56979,1,25,16777215,db450c98,小孩还是涉世未深,1726237680,1670561759343272192,,2024-09-13,14:28:00
3427,1670561399791291136,50663,1,25,16777215,20be134a,这个小姑娘，你搞清楚。如果是需要年轻劳动力就不会延迟退休了，年轻人找不到工作,1726237637,1670561399791291136,,2024-09-13,14:27:17
3428,1670552941196784384,36923,1,25,16777215,e83de603,一眼北外,1726236629,1670552941196784384,,2024-09-13,14:10:29
3429,1670551084974215424,87571,1,25,16777215,aa8899b,？？？？？？,1726236407,1670551084974215424,,2024-09-13,14:06:47
3430,1670549741798310144,166667,1,25,16777215,27e9c1e9,那你猜猜为什么不想生孩子,1726236247,1670549741798310144,,2024-09-13,14:04:07
3431,1670541978200829184,72088,1,25,16777215,47672e88,人才,1726235322,1670541978200829184,,2024-09-13,13:48:42
